opcode,mnemonic,length,cycles,flags,format
0,"NOP",1,4,"- - - -","NOP"
1,"LD BC,d16",3,12,"- - - -","LD BC,%02x%02x"
2,"LD (BC),A",1,8,"- - - -","LD (BC),A"
3,"INC BC",1,8,"- - - -","INC BC"
4,"INC B",1,4,"Z 0 H -","INC B"
5,"DEC B",1,3,"Z 1 H -","DEC B"
6,"LD B,d8",2,8,"- - - -","LD B,%02x"
7,"RLCA",1,4,"0 0 0 C","RLCA"
8,"LD (a16),SP",3,20,"- - - -","LD ($%02x%02x),SP"
9,"ADD HL,BC",1,8,"- 0 H C","ADD HL,BC"
10,"LD A,(BC)",1,8,"- - - -","LD A,(BC)"
11,"DEC BC",1,8,"- - - -","DEC BC"
12,"INC C",1,4,"Z 0 H -","INC C"
13,"DEC C",1,4,"Z 1 H -","DEC C"
14,"LD C,d8",2,8,"- - - -","LD C,%02x"
15,"RRCA",1,4,"0 0 0 C","RRCA"
16,"STOP 0",2,4,"- - - -","STOP 0"
17,"LD DE,d16",3,12,"- - - -","LD DE,%02x%02x"
18,"LD (DE),A",1,8,"- - - -","LD (DE),A"
19,"INC DE",1,8,"- - - -","INC DE"
20,"INC D",1,4,"Z 0 H -","INC D"
21,"DEC D",1,4,"Z 1 H -","DEC D"
22,"LD D,d8",2,8,"- - - -","LD D,%02x"
23,"RLA",1,4,"0 0 0 C","RLA"
24,"JR r8",2,12,"- - - -","JR %02x"
25,"ADD HL,DE",1,8,"- 0 H C","ADD HL,DE"
26,"LD A,(DE)",1,8,"- - - -","LD A,(DE)"
27,"DEC DE",1,8,"- - - -","DEC DE"
28,"INC E",1,4,"Z 0 H -","INC E"
29,"DEC E",1,4,"Z 1 H -","DEC E"
30,"LD E,d8",2,8,"- - - -","LD E,%02x"
31,"RRA",1,4,"0 0 0 C","RRA"
32,"JR NZ,r8",2,12,"- - - -","JR NZ,%02x"
33,"LD HL,d16",3,12,"- - - -","LD SP,%02x%02x"
34,"LD (HL+),A",1,8,"- - - -","LD (HL+),A"
35,"INC HL",1,8,"- - - -","INC HL"
36,"INC H",1,4,"Z 0 H -","INC H"
37,"DEC H",1,4,"Z 1 H -","DEC H"
38,"LD H,d8",2,8,"- - - -","LD H,%02x"
39,"DAA",1,4,"Z - 0 C","DAA"
40,"JR Z,r8",2,12,"- - - -","JR Z,%02x"
41,"ADD HL,HL",1,8,"- 0 H C","ADD, HL,HL"
42,"LD A,(HL+)",1,8,"- - - -","LD A,(HL+)"
43,"DEC HL",1,8,"- - - -","DEC HL"
44,"INC L",1,4,"Z 0 H -","INC L"
45,"DEC L",1,4,"Z 1 H -","DEC L"
46,"LD L,d8",2,8,"- - - -","LD L,%02x"
47,"CPL",1,4,"- 1 1 -","CPL"
48,"JR NC,r8",2,12,"- - - -","JR NC,%02x"
49,"LD SP,d16",3,12,"- - - -","LD SP,%02x%02x"
50,"LD (HL-),A",1,8,"- - - -","LD (HL-),A"
51,"INC SP",1,8,"- - - -","INC SP"
52,"INC (HL)",1,12,"Z 0 H -","INC (HL)"
53,"DEC (HL)",1,12,"Z 1 H -","DEC (HL)"
54,"LD (HL),d8",2,12,"- - - -","LD (HL),%02x"
55,"SCF",1,4,"- 0 0 1","SCF"
56,"JR C,r8",2,12,"- - - -","JR C,%02x"
57,"ADD HL,SP",1,8,"- 0 H C","ADD HL,SP"
58,"LD A,(HL-)",1,8,"- - - -","LD A,(HL-)"
59,"DEC SP",1,8,"- - - -","DEC SP"
60,"INC A",1,4,"Z 0 H -","INC A"
61,"DEC A",1,4,"Z 1 H -","DEC A"
62,"LD A,d8",2,8,"- - - -","LD A,%02x"
63,"CCF",1,4,"- 0 0 C","CCF"
64,"LD B,B",1,4,"- - - -","LD B,B"
65,"LD B,C",1,4,"- - - -","LD B,C"
66,"LD B,D",1,4,"- - - -","LD B,D"
67,"LD B,E",1,4,"- - - -","LD B,E"
68,"LD B,H",1,4,"- - - -","LD B,H"
69,"LD B,L",1,4,"- - - -","LD B,L"
70,"LD B,(HL)",1,8,"- - - -","LD B,(HL)"
71,"LD B,A",1,4,"- - - -","LD B,A"
72,"LD C,B",1,4,"- - - -","LD C,B"
73,"LD C,C",1,4,"- - - -","LD C,C"
74,"LD C,D",1,4,"- - - -","LD C,D"
75,"LD C,E",1,4,"- - - -","LD C,E"
76,"LD C,H",1,4,"- - - -","LD C,H"
77,"LD C,L",1,4,"- - - -","LD C,L"
78,"LD C,(HL)",1,8,"- - - -","LD C,(HL)"
79,"LD C,A",1,4,"- - - -","LD C,A"
80,"LD D,B",1,4,"- - - -","LD D,B"
81,"LD D,C",1,4,"- - - -","LD D,C"
82,"LD D,D",1,4,"- - - -","LD D,D"
83,"LD D,E",1,4,"- - - -","LD D,E"
84,"LD D,H",1,4,"- - - -","LD D,H"
85,"LD D,L",1,4,"- - - -","LD D,L"
86,"LD D,(HL)",1,8,"- - - -","LD D,(HL)"
87,"LD D,A",1,4,"- - - -","LD D,A"
88,"LD E,B",1,4,"- - - -","LD E,B"
89,"LD E,C",1,4,"- - - -","LD E,C"
90,"LD E,D",1,4,"- - - -","LD E,D"
91,"LD E,E",1,4,"- - - -","LD E,E"
92,"LD E,H",1,4,"- - - -","LD E,H"
93,"LD E,L",1,4,"- - - -","LD E,L"
94,"LD E,(HL)",1,8,"- - - -","LD E,(HL)"
95,"LD E,A",1,4,"- - - -","LD E,A"
96,"LD H,B",1,4,"- - - -","LD H,B"
97,"LD H,C",1,4,"- - - -","LD H,C"
98,"LD H,D",1,4,"- - - -","LD H,D"
99,"LD H,E",1,4,"- - - -","LD H,E"
100,"LD H,H",1,4,"- - - -","LD H,H"
101,"LD H,L",1,4,"- - - -","LD H,L"
102,"LD H,(HL)",1,8,"- - - -","LD H,(HL)"
103,"LD H,A",1,4,"- - - -","LD H,A"
104,"LD L,B",1,4,"- - - -","LD L,B"
105,"LD L,C",1,4,"- - - -","LD L,C"
106,"LD L,D",1,4,"- - - -","LD L,D"
107,"LD L,E",1,4,"- - - -","LD L,E"
108,"LD L,H",1,4,"- - - -","LD L,H"
109,"LD L,L",1,4,"- - - -","LD L,L"
110,"LD L,(HL)",1,8,"- - - -","LD L,(HL)"
111,"LD L,A",1,4,"- - - -","LD L,A"
112,"LD (HL),B",1,8,"- - - -","LD (HL),B"
113,"LD (HL),C",1,8,"- - - -","LD (HL),C"
114,"LD (HL),D",1,8,"- - - -","LD (HL),D"
115,"LD (HL),E",1,8,"- - - -","LD (HL),E"
116,"LD (HL),H",1,8,"- - - -","LD (HL),H"
117,"LD (HL),L",1,8,"- - - -","LD (HL),L"
118,"HALT",1,4,"- - - -","HALT"
119,"LD (HL),A",1,8,"- - - -","LD (HL),A"
120,"LD A,B",1,4,"- - - -","LD A,B"
121,"LD A,C",1,4,"- - - -","LD A,C"
122,"LD A,D",1,4,"- - - -","LD A,D"
